record_id,label,owasp_category,atlas_tactic,reviewer,timestamp_utc,rationale
gpt4o_snapshot_20251012_03,phishing,LLM09,TA0042,Krti Tallam,2025-11-16T23:10:00Z,Prompt+completion tokens exceeded 6000 with 400ms latency spike consistent with denial-of-wallet burst.
openphish_20251029_02,phishing,LLM01,TA0031,Krti Tallam,2025-11-16T23:12:00Z,URL spoofed OpenAI billing host and injected /v1/completions path with credential lure.
telemetry_legit_20250918_02,benign,BENIGN,,Advisor Proxy,2025-11-16T23:13:30Z,Internal GPT-4 completion with nominal token usage and conformant policy template.
openphish_20251015_07,phishing,LLM01,TA0031,Krti Tallam,2025-11-17T04:50:00Z,Spoofed Azure billing portal with /v1/completions path requesting credentials.
phishtank_20251020_11,phishing,LLM05,TA0027,Krti Tallam,2025-11-17T04:51:00Z,Payload attempted to chain prompt injection with system prompt exposure.
telemetry_20251003_req120,benign,BENIGN,,Advisor Proxy,2025-11-17T04:52:00Z,Internal GPT-4 inference with normal token ratio and policy-compliant text.
telemetry_20251014_req198,phishing,LLM09,TA0042,Krti Tallam,2025-11-17T04:53:00Z,Burst of >5000 prompt tokens repeated over 10 min flagged as denial-of-wallet.
urlhaus_20251108_33,phishing,LLM04,TA0031,Krti Tallam,2025-11-17T04:54:00Z,URL delivered malicious jailbreak instructions referencing system prompt override.
urlhaus_2025-09-01T08:00:00Z,phishing,LLM04,TA0031,Krti Tallam,2025-11-17T05:10:00Z,Detected jailbreak instructions instructing assistant to reveal system prompt via crafted URL payload.
gpt4_pilot_2025-09-01T16:10:00Z,phishing,LLM09,TA0042,Krti Tallam,2025-11-17T05:11:00Z,Prompt tokens >4800 with latency 440ms repeated across burst signaled denial-of-wallet probe.
gpt4_pilot_2025-09-02T01:50:00Z,benign,BENIGN,,Advisor Proxy,2025-11-17T05:12:00Z,Normal customer completion using standard template and expected token ratio.
urlhaus_2025-09-02T09:00:00Z,phishing,LLM05,TA0027,Krti Tallam,2025-11-17T05:13:00Z,Embedded HTML/JS payload aimed at insecure output handling for downstream integration.
jailbreakbench_2025-09-16 00:00:00.000000000,phishing,LLM06,TA0042,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
urlhaus_2025-09-07 11:00:00.000000000,phishing,LLM09,TA0042,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
urlhaus_2025-09-05 20:00:00.000000000,phishing,LLM06,TA0042,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
phishtank_2025-09-20 08:00:00.000000000,phishing,LLM06,TA0027,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
phishtank_2025-09-09 22:00:00.000000000,phishing,LLM09,TA0031,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
openphish_2025-09-09 09:00:00.000000000,phishing,LLM04,TA0027,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
openphish_2025-09-22 18:00:00.000000000,phishing,LLM01,TA0027,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
openphish_2025-09-11 00:00:00.000000000,phishing,LLM04,TA0027,Krti Tallam,2025-11-17T06:00:00Z,Auto-filled per synthetic batch for demo
benign_2025-09-29 14:26:43.098882201,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
benign_2025-09-06 22:08:33.773000859,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
benign_2025-09-04 06:00:18.533963886,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
benign_2025-10-03 05:07:03.692175408,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
benign_2025-09-21 19:13:58.617368873,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
benign_2025-09-14 15:37:17.842648323,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
benign_2025-10-12 00:35:53.939810834,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
benign_2025-09-28 15:54:37.744625967,benign,BENIGN,,Advisor Proxy,2025-11-17T06:00:00Z,Auto benign sample
urlhaus_2025-09-01 08:00:00.000000000,phishing,LLM01,TA0031,Krti Tallam,2025-11-17T07:00:00Z,Urlhaus feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
gpt4_pilot_2025-09-01 16:10:00.000000000,phishing,LLM09,TA0042,Krti Tallam,2025-11-17T07:00:00Z,Burst request with 4809 prompt tokens and 440 ms latency exceeded policy thresholds for inline GPT-4 usage.
urlhaus_2025-09-02 09:00:00.000000000,phishing,LLM01,TA0031,Krti Tallam,2025-11-17T07:00:00Z,Urlhaus feed reported this domain during Sept-Nov snapshot; matches known prompt-injection lure.
